======================================================================
AndroidBridge [12432]: 64-bit    Footprint: 90 GB (16384 bytes per page)
======================================================================

  Dirty      Clean  Reclaimable    Regions    Category
    ---        ---          ---        ---    ---
  90 GB        0 B          0 B      23053    MALLOC_SMALL
 395 MB        0 B          0 B          8    MALLOC_LARGE
 361 MB        0 B          0 B        735    MALLOC metadata
  46 MB        0 B          0 B          1    page table
8192 KB        0 B          0 B          1    tag 22
4224 KB        0 B          0 B         61    untagged (VM_ALLOCATE)
3277 KB        0 B          0 B        982    __DATA
2769 KB        0 B          0 B        885    __DATA_DIRTY
2064 KB        0 B          0 B         11    Owned physical footprint (unmapped) (graphics)
1952 KB        0 B          0 B        112    CoreAnimation
 896 KB        0 B          0 B         10    CoreUI image data
 888 KB        0 B          0 B        646    __AUTH
 784 KB        0 B          0 B         42    IOAccelerator (graphics)
 768 KB        0 B          0 B         34    Owned physical footprint (unmapped)
 559 KB        0 B          0 B       2545    unused dyld shared cache area
 528 KB        0 B          0 B         20    stack
 400 KB        0 B          0 B        136    IOSurface
 300 KB        0 B          0 B       1041    __DATA_CONST
 272 KB        0 B          0 B          1    MALLOC_TINY
 192 KB        0 B          0 B         12    CoreGraphics
 128 KB        0 B          0 B          2    Accelerate image backing stores
 112 KB        0 B          0 B       1032    __AUTH_CONST
 112 KB        0 B          0 B          2    __TPRO_CONST
  96 KB        0 B          0 B          6    CG image
  64 KB        0 B          0 B          2    IOAccelerator
  64 KB        0 B          0 B          6    IOKit
  48 KB        0 B          0 B          1    Activity Tracing
  48 KB        0 B          0 B          2    MALLOC_NANO
  32 KB        0 B          0 B          2    ColorSync
  16 KB        0 B          0 B          1    Foundation
  16 KB        0 B          0 B          1    os_alloc_once
    0 B        0 B       176 KB         22    ImageIO
    0 B    3328 KB          0 B         53    mapped file
    0 B    3056 KB          0 B        104    skywalk (network) (nofootprint)
    0 B    1696 KB          0 B       1064    __TEXT
    0 B      48 KB          0 B          3    Owned physical footprint (unmapped) (network) (nofootprint)
    0 B      16 KB          0 B          7    __LINKEDIT
    0 B        0 B          0 B          1    __FONT_DATA
    0 B        0 B          0 B        241    skywalk
    0 B        0 B          0 B          4    SQLite page cache
    0 B        0 B          0 B          1    __CTF
    ---        ---          ---        ---    ---
  90 GB    8144 KB       176 KB      32894    TOTAL

Auxiliary data:
    phys_footprint: 90 GB
    phys_footprint_peak: 90 GB
